rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1510961873297879297,,302,,1510961873,296252213,'',"[-0.0, -0.0, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873409911536,,303,,1510961873,408166901,'',"[-0.0, -0.0, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873494827109,,304,,1510961873,488571328,'',"[-0.0, -0.0, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873745780442,,305,,1510961873,744184557,'',"[-0.0, -0.0, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873754695547,,306,,1510961873,752189817,'',"[-0.0, -0.0, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873771373307,,307,,1510961873,769177995,'',"[-0.0, -0.0, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873786133828,,308,,1510961873,784309297,'',"[-0.0, -0.0, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873817715026,,309,,1510961873,816153307,'',"[-0.0, 0.007056200411170721, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873833721953,,310,,1510961873,832068932,'',"[-0.0, 0.023118574172258377, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873850092317,,311,,1510961873,848188411,'',"[-0.0, 0.03516535460948944, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873873889349,,312,,1510961873,872075338,'',"[-0.0, 0.047212135046720505, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873921757161,,313,,1510961873,920082786,'',"[-0.0, 0.06327451020479202, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873969893515,,314,,1510961873,968127317,'',"[-0.0, 0.07532128691673279, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961873993835911,,315,,1510961873,992047890,'',"[-0.0, 0.09138365834951401, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961874009658984,,316,,1510961874,8089817,'',"[-0.0, 0.15563315153121948, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961874017617109,,317,,1510961874,16084869,'',"[-0.0, 0.16767993569374084, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961874041793880,,318,,1510961874,40157786,'',"[-0.0, 0.18374231457710266, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961874050068099,,319,,1510961874,48080338,'',"[-0.0, 0.19980467855930328, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961874057886901,,320,,1510961874,56260651,'',"[-0.0, 0.223898246884346, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961874065924401,,321,,1510961874,64163671,'',"[-0.0, 0.23996061086654663, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510961874081641640,,322,,1510961874,80106484,'',"[-0.0, 0.2600385844707489, 0.0, 0.06857509166002274, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
