rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,point,x,y,z
1511972182880727919,,590,,1511972182,879939079,96,,-105.331260681,229.323730469,108.585220337
1511972182881385956,,591,,1511972182,880148887,97,,108.599891663,224.003417969,111.949981689
1511972182881430612,,592,,1511972182,880292892,98,,-57.33984375,227.436767578,260.622924805
1511972182881448123,,593,,1511972182,880543947,99,,48.0846824646,227.377441406,259.721801758
1511972182881463160,,594,,1511972182,880686998,100,,-79.5068511963,227.106933594,-235.614868164
1511972182881606853,,595,,1511972182,880806922,101,,106.629867554,233.012939453,-223.050811768
1511972182881644036,,596,,1511972182,880923986,102,,-103.936073303,226.702636719,-71.2496032715
1511972182881889771,,597,,1511972182,881047010,103,,110.028411865,225.285400391,-66.3596801758
1511972182900341728,,598,,1511972182,899624109,96,,-105.441642761,229.283691406,108.522026062
1511972182900416494,,599,,1511972182,899815082,97,,108.456008911,223.943847656,111.85760498
1511972182901162843,,600,,1511972182,900021076,98,,-57.546333313,227.39453125,260.540557861
1511972182901427359,,601,,1511972182,900429964,99,,47.9057235718,227.350341797,259.653930664
1511972182901475789,,602,,1511972182,900626897,100,,-79.657409668,227.15625,-235.720550537
1511972182901503672,,603,,1511972182,900773048,101,,106.233978271,232.719726562,-222.940582275
1511972182901653370,,604,,1511972182,900906085,102,,-104.134857178,226.66796875,-71.3678436279
1511972182902232338,,605,,1511972182,901112079,103,,109.781661987,225.135498047,-66.3251342773
1511972182920271041,,606,,1511972182,919539928,96,,-105.568595886,229.275146484,108.532470703
1511972182920301087,,607,,1511972182,919725894,97,,108.387512207,223.946533203,111.87588501
1511972182920836806,,608,,1511972182,919869899,98,,-57.6647338867,227.403564453,260.576293945
1511972182920860365,,609,,1511972182,919997930,99,,47.8341522217,227.4140625,259.660400391
1511972182921209990,,610,,1511972182,920304059,100,,-79.8153381348,227.116699219,-235.719512939
1511972182921351245,,611,,1511972182,920516014,101,,105.913551331,232.541748047,-222.951507568
1511972182921383705,,612,,1511972182,920809030,102,,-104.236000061,226.677490234,-71.3292236328
1511972182921473413,,613,,1511972182,921006917,103,,109.723419189,225.1328125,-66.3993530273
1511972182940133434,,614,,1511972182,939277887,96,,-105.37802124,229.418212891,108.647521973
1511972182940420342,,615,,1511972182,939460992,97,,108.537025452,224.065185547,111.9168396
1511972182940443963,,616,,1511972182,939610958,98,,-57.4822387695,227.506835938,260.652618408
1511972182940787835,,617,,1511972182,939807891,99,,47.917766571,227.482177734,259.712127686
1511972182940822202,,618,,1511972182,940015077,100,,-79.603187561,227.206054688,-235.610015869
1511972182940837129,,619,,1511972182,940145015,101,,106.005020142,232.595214844,-223.03326416
1511972182940851716,,620,,1511972182,940453052,102,,-104.0730896,226.766357422,-71.2514801025
1511972182941293233,,621,,1511972182,940898895,103,,109.849342346,225.331054688,-66.418182373
1511972182962728740,,622,,1511972182,961297988,96,,-105.293235779,229.407958984,108.667419434
1511972182962758562,,623,,1511972182,961513996,97,,108.620071411,224.091308594,111.964584351
1511972182962830075,,624,,1511972182,961661100,98,,-57.2723999023,227.528076172,260.652496338
1511972182962948392,,625,,1511972182,961788892,99,,48.1079101562,227.5,259.700164795
1511972182962974392,,626,,1511972182,961905956,100,,-79.4443588257,227.231689453,-235.537078857
1511972182962995328,,627,,1511972182,962027072,101,,106.41771698,232.887939453,-223.204162598
1511972182963007608,,628,,1511972182,962150096,102,,-103.885902405,226.834472656,-71.2060089111
1511972182963034362,,629,,1511972182,962342977,103,,110.109939575,225.597900391,-66.5557098389
1511972182986067716,,630,,1511972182,985315084,96,,-105.209594727,229.350830078,108.661819458
1511972182986095304,,631,,1511972182,985536098,97,,108.656410217,223.990966797,111.93927002
1511972182986147887,,632,,1511972182,985681056,98,,-57.3270950317,227.481445312,260.637542725
1511972182986250172,,633,,1511972182,985888957,99,,48.2006645203,227.470458984,259.733917236
1511972182986812991,,634,,1511972182,986248016,100,,-79.3606491089,227.188720703,-235.524749756
1511972182987114814,,635,,1511972182,986454010,101,,106.84803772,233.176513672,-223.239685059
1511972182987145677,,636,,1511972182,986629009,102,,-103.924209595,226.736816406,-71.2098693848
1511972182987170349,,637,,1511972182,986799955,103,,110.09853363,225.305908203,-66.4621887207
1511972182999290246,,638,,1511972182,998703956,96,,-105.275024414,229.354736328,108.48639679
1511972182999333038,,639,,1511972182,998943090,97,,108.63671875,224.041503906,111.827453613
1511972182999937044,,640,,1511972182,999409914,98,,-57.2943267822,227.479248047,260.508361816
1511972183000240063,,641,,1511972182,999604940,99,,48.0401229858,227.382568359,259.580291748
1511972183000269919,,642,,1511972182,999830961,100,,-79.4188919067,227.124511719,-235.649658203
1511972183000605011,,643,,1511972182,999982118,101,,106.868804932,233.226806641,-223.183349609
1511972183000634477,,644,,1511972183,196933,102,,-103.894706726,226.785400391,-71.3382873535
