rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1510962728026386887,,185,,1510962728,24206627,'',"[-0.0, 0.007056200411170721, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728033663242,,186,,1510962728,32066471,'',"[-0.0, 0.019102981314063072, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728050358814,,187,,1510962728,48700637,'',"[-0.0, 0.031149759888648987, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728067094075,,188,,1510962728,64232148,'',"[-0.0, 0.04319654032588005, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728106382044,,189,,1510962728,104537408,'',"[-0.0, 0.055243320763111115, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728130142981,,190,,1510962728,128530169,'',"[-0.0, 0.055243320763111115, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728149696783,,191,,1510962728,146921262,'',"[-0.0, 0.06729009747505188, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728162260429,,192,,1510962728,160350012,'',"[-0.0, 0.07933688163757324, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728185825481,,193,,1510962728,184119179,'',"[-0.0, 0.07933688163757324, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728193960585,,194,,1510962728,192267460,'',"[-0.0, 0.09138365834951401, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728200515012,,195,,1510962728,198724283,'',"[-0.0, 0.09138365834951401, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728210035169,,196,,1510962728,208286939,'',"[-0.011682163923978806, 0.09138365834951401, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728217850116,,197,,1510962728,216148294,'',"[-0.027359040454030037, 0.09138365834951401, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728233749648,,198,,1510962728,232122564,'',"[-0.04303591698408127, 0.09138365834951401, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728298113398,,199,,1510962728,296227929,'',"[-0.06655123084783554, 0.09138365834951401, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728305793398,,200,,1510962728,304140325,'',"[-0.1410163938999176, 0.09138365834951401, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728318726002,,201,,1510962728,317176679,'',"[-0.1566932648420334, 0.15563315153121948, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728327112721,,202,,1510962728,325414648,'',"[-0.17237015068531036, 0.15563315153121948, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728329689804,,203,,1510962728,328148554,'',"[-0.17237015068531036, 0.1716955304145813, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728338122512,,204,,1510962728,336284075,'',"[-0.18804702162742615, 0.18775789439678192, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728353761106,,205,,1510962728,352124960,'',"[-0.20372390747070312, 0.20382027328014374, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728361541419,,206,,1510962728,360055116,'',"[-0.20372390747070312, 0.223898246884346, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728382751887,,207,,1510962728,381124283,'',"[-0.20372390747070312, 0.23594501614570618, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728401969387,,208,,1510962728,400257877,'',"[-0.20372390747070312, 0.24799180030822754, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728409545325,,209,,1510962728,408108866,'',"[-0.20372390747070312, 0.2600385844707489, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728682018033,,210,,1510962728,680207408,'',"[-0.18804702162742615, 0.2600385844707489, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728689942095,,211,,1510962728,688156731,'',"[-0.17237015068531036, 0.2600385844707489, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1510962728705966783,,212,,1510962728,704218658,'',"[-0.16061249375343323, 0.27208536863327026, -0.0, 0.06047965586185455, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
