rosbagTimestamp,joint_name,position,speed,acceleration
1511999063481623754,0,-1.0,0.0,0.0
1511999063581997921,1,-0.0,0.0,0.0
1511999063683325629,0,-1.0,0.0,0.0
1511999063780933338,1,-0.0,0.0,0.0
1511999063884001046,0,-0.7,0.0,0.0
1511999063979056931,1,-0.0,0.0,0.0
1511999064080617660,0,-0.7,0.0,0.0
1511999064183563494,1,-0.0,0.0,0.0
1511999064280256410,0,3.0,0.0,0.0
1511999064380575837,1,-0.0,0.0,0.0
1511999064480939535,0,3.0,0.0,0.0
1511999064583795108,1,-0.0,0.0,0.0
1511999064680582921,0,3.0,0.0,0.0
1511999064782865264,1,-0.0,0.0,0.0
1511999064880057920,0,3.0,0.0,0.0
1511999064980684639,1,-0.0,0.0,0.0
1511999065083333181,0,3.0,0.0,0.0
1511999065180591983,1,-0.0,0.0,0.0
1511999065280839691,0,3.0,0.0,0.0
1511999065380369431,1,-0.0,0.0,0.0
1511999065482067243,0,3.0,0.0,0.0
1511999065580303285,1,-0.0,0.0,0.0
1511999065681042399,0,3.0,0.0,0.0
1511999065779716826,1,-0.0,0.0,0.0
1511999065881672399,0,3.0,0.0,0.0
1511999065980222920,1,-0.0,0.0,0.0
1511999066079855576,0,3.0,0.0,0.0
1511999066178712451,1,0.0,0.0,0.0
1511999066279526045,0,0.0,0.0,0.0
1511999069819711773,0,-1.0,0.0,0.0
1511999069920510106,1,-0.0,0.0,0.0
1511999070021124429,0,-1.0,0.0,0.0
1511999070118977762,1,-0.0,0.0,0.0
1511999070219043700,0,-0.7,0.0,0.0
1511999070318902450,1,-0.0,0.0,0.0
1511999070419957606,0,-0.7,0.0,0.0
1511999070519514168,1,-0.0,0.0,0.0
1511999070620741095,0,3.0,0.0,0.0
1511999070721989689,1,-0.0,0.0,0.0
1511999070818605054,0,3.0,0.0,0.0
1511999070920273960,1,-0.0,0.0,0.0
1511999071018151981,0,3.0,0.0,0.0
1511999071120710731,1,-0.0,0.0,0.0
1511999071218560783,0,3.0,0.0,0.0
1511999071318131095,1,-0.0,0.0,0.0
1511999071418622085,0,3.0,0.0,0.0
1511999071519815314,1,-0.0,0.0,0.0
1511999071618854376,0,3.0,0.0,0.0
1511999071718303126,1,-0.0,0.0,0.0
1511999071819819689,0,3.0,0.0,0.0
1511999071918475991,1,-0.0,0.0,0.0
1511999072018589220,0,3.0,0.0,0.0
1511999072118832918,1,-0.0,0.0,0.0
1511999072217916668,0,3.0,0.0,0.0
1511999072321719116,1,-0.0,0.0,0.0
1511999072421322501,0,3.0,0.0,0.0
1511999072516179011,1,0.0,0.0,0.0
1511999072621803438,0,0.0,0.0,0.0
1511999181373512772,0,-1.0,0.0,0.0
1511999181472924751,1,2.0,0.0,0.0
1511999181574387772,0,-1.0,0.0,0.0
1511999181673261626,1,2.0,0.0,0.0
1511999181772593709,0,-1.0,0.0,0.0
1511999181872978397,1,2.0,0.0,0.0
1511999181973877459,0,-1.0,0.0,0.0
1511999182073140792,1,2.0,0.0,0.0
1511999182174048501,0,-0.6,0.0,0.0
1511999182273116001,1,2.0,0.0,0.0
1511999182373337146,0,-0.6,0.0,0.0
1511999182473699751,1,2.0,0.0,0.0
1511999182574875480,0,-0.6,0.0,0.0
1511999182673580323,1,2.0,0.0,0.0
1511999182774040740,0,-0.6,0.0,0.0
1511999182873326834,1,2.0,0.0,0.0
1511999182972560584,0,-0.6,0.0,0.0
1511999183072466105,1,2.0,0.0,0.0
1511999183172435375,0,-0.6,0.0,0.0
1511999183272411261,1,2.0,0.0,0.0
1511999183373029854,0,-0.6,0.0,0.0
1511999183472855167,1,2.0,0.0,0.0
1511999183573477511,0,-0.6,0.0,0.0
1511999183673864438,1,2.0,0.0,0.0
1511999183773239750,0,-0.6,0.0,0.0
1511999183872988135,1,2.0,0.0,0.0
1511999183972279021,0,-0.6,0.0,0.0
1511999184073658292,1,2.0,0.0,0.0
1511999184172946365,0,-0.6,0.0,0.0
1511999184274232458,1,2.0,0.0,0.0
1511999184373381104,0,-0.6,0.0,0.0
1511999184473326260,1,2.0,0.0,0.0
1511999184572416052,0,-0.6,0.0,0.0
1511999184673378708,1,2.0,0.0,0.0
1511999184773307458,0,-0.6,0.0,0.0
1511999184874561416,1,2.0,0.0,0.0
1511999184972652979,0,-0.6,0.0,0.0
1511999185073851208,1,2.0,0.0,0.0
1511999185173331833,0,-0.6,0.0,0.0
1511999185273009541,1,2.0,0.0,0.0
1511999185372477666,0,-0.6,0.0,0.0
1511999185473426416,1,2.0,0.0,0.0
1511999185572809541,0,-0.6,0.0,0.0
1511999185673722666,1,2.0,0.0,0.0
1511999185774606260,0,-0.6,0.0,0.0
1511999185874160478,1,2.0,0.0,0.0
1511999185975841781,0,-0.6,0.0,0.0
1511999186075006155,1,2.0,0.0,0.0
1511999186174752822,0,-0.6,0.0,0.0
1511999186273440426,1,2.0,0.0,0.0
1511999186374714437,0,-0.6,0.0,0.0
1511999186474439801,1,2.0,0.0,0.0
1511999186573724749,0,-0.6,0.0,0.0
1511999186674573030,1,2.0,0.0,0.0
1511999186773529020,0,-0.6,0.0,0.0
1511999186874894541,1,2.0,0.0,0.0
1511999186975261936,0,-0.6,0.0,0.0
1511999187077162978,1,2.0,0.0,0.0
1511999187176957509,0,-0.6,0.0,0.0
1511999187275474488,1,2.0,0.0,0.0
1511999187374519176,0,-0.6,0.0,0.0
1511999187476078342,1,2.0,0.0,0.0
1511999187572657405,0,-0.6,0.0,0.0
1511999187673363967,1,2.0,0.0,0.0
1511999187774711988,0,-0.6,0.0,0.0
1511999187875921467,1,2.0,0.0,0.0
1511999187976214176,0,-0.6,0.0,0.0
1511999188078985113,1,2.0,0.0,0.0
1511999188173571467,0,-0.6,0.0,0.0
1511999188280123290,1,2.0,0.0,0.0
1511999188374532248,0,-0.6,0.0,0.0
1511999188476834957,1,2.0,0.0,0.0
