rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1511797064033007180,,16436,,1511797064,32306909,0,,,1987.6394043,188.330078125,359.259796143,,0.478892415762,-0.818735301495,0.108774632215,0.297494232655
1511797064052758013,,16437,,1511797064,52047014,0,,,1987.7902832,188.095703125,359.112030029,,0.478421360254,-0.818905949593,0.10845438391,0.297898799181
1511797064074859628,,16438,,1511797064,73043107,0,,,1987.77124023,188.06640625,359.156433105,,0.478516280651,-0.818875730038,0.108570940793,0.297787040472
1511797064104296920,,16439,,1511797064,102761030,0,,,1987.72045898,188.206542969,359.201568604,,0.479063630104,-0.818665981293,0.108797505498,0.29740101099
1511797064116911243,,16440,,1511797064,113997936,0,,,1987.68432617,188.081298828,359.212585449,,0.478543698788,-0.818849921227,0.108709409833,0.297763675451
1511797064135175253,,16441,,1511797064,131223917,0,,,1987.64941406,188.017089844,359.109954834,,0.478299200535,-0.818987250328,0.108545355499,0.297838449478
1511797064152364368,,16442,,1511797064,150867938,0,,,1987.64379883,188.008544922,359.177734375,,0.478493183851,-0.818913638592,0.108571738005,0.297719836235
1511797064173532493,,16443,,1511797064,171386957,0,,,1987.69775391,188.226074219,359.26574707,,0.478797852993,-0.818683326244,0.109332941473,0.297584801912
1511797064194170097,,16444,,1511797064,190953969,0,,,1987.77587891,188.145996094,359.209411621,,0.478696942329,-0.818828523159,0.10852380842,0.297643482685
1511797064213006607,,16445,,1511797064,211193084,0,,,1987.80297852,188.208496094,359.168426514,,0.478597819805,-0.818826198578,0.108477056026,0.297826588154
1511797064236076243,,16446,,1511797064,235002040,0,,,1987.67895508,188.300537109,359.192016602,,0.47863650322,-0.818782806396,0.108567737043,0.297850459814
1511797064251807388,,16447,,1511797064,250930070,0,,,1987.78076172,188.292236328,359.110321045,,0.478559285402,-0.818811237812,0.108704544604,0.29784694314
1511797064271925513,,16448,,1511797064,270586013,0,,,1987.63525391,188.284667969,359.153808594,,0.478689402342,-0.81883263588,0.108584344387,0.297622293234
1511797064290481086,,16449,,1511797064,289639949,0,,,1987.81005859,188.115478516,359.085968018,,0.478434622288,-0.81891721487,0.10849172622,0.297833174467
1511797064309748326,,16450,,1511797064,309062004,0,,,1987.80957031,188.064941406,359.102050781,,0.478705257177,-0.818798005581,0.10858476907,0.297692030668
1511797064330232284,,16451,,1511797064,329516887,0,,,1987.82275391,188.042480469,359.080322266,,0.478804826736,-0.818767428398,0.108716472983,0.297567874193
1511797064350193847,,16452,,1511797064,349193096,0,,,1987.70507812,188.136474609,359.153076172,,0.478806376457,-0.818798363209,0.108722530305,0.297478228807
1511797064370003065,,16453,,1511797064,368988990,0,,,1987.71899414,188.082519531,359.140563965,,0.478612422943,-0.818842887878,0.108538478613,0.297734409571
1511797064390513899,,16454,,1511797064,389475107,0,,,1987.65600586,188.077392578,359.228271484,,0.478756308556,-0.818773448467,0.108575202525,0.297680854797
1511797064413056815,,16455,,1511797064,411832094,0,,,1987.703125,188.126220703,359.193206787,,0.478823810816,-0.818736970425,0.108739480376,0.297612667084
1511797064430642284,,16456,,1511797064,428415060,0,,,1987.6887207,188.129150391,359.277160645,,0.478735685349,-0.81878387928,0.108673892915,0.297649472952
1511797064449442753,,16457,,1511797064,448322057,0,,,1987.78442383,188.073486328,359.168609619,,0.478753983974,-0.818772614002,0.108435280621,0.297738045454
1511797064469349888,,16458,,1511797064,468367099,0,,,1987.77319336,188.010498047,359.111297607,,0.478635311127,-0.81881403923,0.1085062325,0.297788769007
1511797064489415305,,16459,,1511797064,487766981,0,,,1987.67822266,188.118408203,359.145996094,,0.478928744793,-0.818755626678,0.108672387898,0.297417134047
1511797064509282597,,16460,,1511797064,508081912,0,,,1987.65600586,188.146240234,359.196746826,,0.478912860155,-0.818768978119,0.108593404293,0.297434598207
1511797064529197597,,16461,,1511797064,528229951,0,,,1987.74316406,188.084716797,359.185791016,,0.478640526533,-0.818816184998,0.108576342463,0.297748982906
1511797064547827336,,16462,,1511797064,546992063,0,,,1987.72460938,187.990478516,359.192687988,,0.478505849838,-0.818874061108,0.108498685062,0.297834455967
1511797064569252753,,16463,,1511797064,567544937,0,,,1987.72119141,188.107421875,359.170440674,,0.478961974382,-0.818724989891,0.108657054603,0.297453522682
1511797064598332753,,16464,,1511797064,597239017,0,,,1987.68676758,188.233642578,359.223144531,,0.47912311554,-0.818650901318,0.108708187938,0.297379046679
1511797064618812701,,16465,,1511797064,617613077,0,,,1987.87890625,188.099365234,359.034820557,,0.478415876627,-0.818909108639,0.108438946307,0.297904908657
1511797064633002284,,16466,,1511797064,631807088,0,,,1987.74194336,188.139892578,359.116760254,,0.478653997183,-0.81884086132,0.108438618481,0.297710120678
1511797064646681242,,16467,,1511797064,645819902,0,,,1987.73486328,188.163818359,359.197906494,,0.478950679302,-0.818730831146,0.108668781817,0.297451227903
1511797064666419420,,16468,,1511797064,665643930,0,,,1987.70361328,188.151123047,359.252044678,,0.479151248932,-0.818643808365,0.108546689153,0.297412276268
1511797064686755722,,16469,,1511797064,685770988,0,,,1987.77319336,188.004150391,359.113494873,,0.478567272425,-0.818841338158,0.108405761421,0.29785990715
1511797064707917857,,16470,,1511797064,707173109,0,,,1987.65966797,188.032714844,359.170440674,,0.478683054447,-0.818816900253,0.108587220311,0.297675073147
1511797064725727597,,16471,,1511797064,725017070,0,,,1987.65698242,188.072509766,359.278991699,,0.47891920805,-0.81871509552,0.108828306198,0.297487139702
