rosbagTimestamp,joint_name,position,speed,acceleration
1511796663271958896,0,-0.6,0.0,0.0
1511796663362474104,1,0.0,0.0,0.0
1511796663461830250,0,-0.6,0.0,0.0
1511796663562045510,1,0.0,0.0,0.0
1511796663662029677,0,-0.6,0.0,0.0
1511796663760073114,1,0.0,0.0,0.0
1511796663863948062,0,-0.6,0.0,0.0
1511796663962439937,1,0.0,0.0,0.0
1511796664061545354,0,-0.6,0.0,0.0
1511796664160479676,1,0.0,0.0,0.0
1511796664260172385,0,3.0,0.0,0.0
1511796664360231083,1,0.0,0.0,0.0
1511796664460648166,0,3.0,0.0,0.0
1511796664559612072,1,0.0,0.0,0.0
1511796664660736864,0,3.0,0.0,0.0
1511796664762197697,1,0.0,0.0,0.0
1511796664860111655,0,3.0,0.0,0.0
1511796664961942332,1,0.0,0.0,0.0
1511796665061915874,0,3.0,0.0,0.0
1511796665160863895,1,0.0,0.0,0.0
1511796665261433322,0,3.0,0.0,0.0
1511796665363652020,1,0.0,0.0,0.0
1511796665461122228,0,3.0,0.0,0.0
1511796665563819520,1,0.0,0.0,0.0
1511796665660091186,0,3.0,0.0,0.0
1511796665760886707,1,0.0,0.0,0.0
1511796665860001395,0,3.0,0.0,0.0
1511796665962942176,1,0.0,0.0,0.0
1511796666062382019,0,3.0,0.0,0.0
1511796666159937019,1,0.0,0.0,0.0
1511796666260663686,0,0.0,0.0,0.0
1511796669522606029,0,-0.6,0.0,0.0
1511796669623576497,1,0.0,0.0,0.0
1511796669731814362,0,-0.6,0.0,0.0
1511796669825823060,1,0.0,0.0,0.0
1511796669922537747,0,-0.6,0.0,0.0
1511796670022548893,1,0.0,0.0,0.0
1511796670122588112,0,-0.6,0.0,0.0
1511796670222446966,1,0.0,0.0,0.0
1511796670324192122,0,-0.6,0.0,0.0
1511796670422892226,1,0.0,0.0,0.0
1511796670525361862,0,3.0,0.0,0.0
1511796670623033372,1,0.0,0.0,0.0
1511796670725504570,0,3.0,0.0,0.0
1511796670823517330,1,0.0,0.0,0.0
1511796670922395351,0,3.0,0.0,0.0
1511796671031009726,1,0.0,0.0,0.0
1511796671123150768,0,3.0,0.0,0.0
1511796671222763059,1,0.0,0.0,0.0
1511796671322944674,0,3.0,0.0,0.0
1511796671423769622,1,0.0,0.0,0.0
1511796671522350090,0,3.0,0.0,0.0
1511796671622616497,1,0.0,0.0,0.0
1511796671724604309,0,3.0,0.0,0.0
1511796671823485351,1,0.0,0.0,0.0
1511796671922574413,0,3.0,0.0,0.0
1511796672022077017,1,0.0,0.0,0.0
1511796672123838788,0,3.0,0.0,0.0
1511796672225067486,1,0.0,0.0,0.0
1511796672322594361,0,3.0,0.0,0.0
1511796672421453371,1,0.0,0.0,0.0
1511796672522090767,0,0.0,0.0,0.0
1511796727993590798,0,-1.0,0.0,0.0
1511796728093712985,1,2.0,0.0,0.0
1511796728193991215,0,-1.0,0.0,0.0
1511796728294844392,1,2.0,0.0,0.0
1511796728395937152,0,-1.0,0.0,0.0
1511796728503894600,1,2.0,0.0,0.0
1511796728594116527,0,-1.0,0.0,0.0
1511796728694122412,1,2.0,0.0,0.0
1511796728793426839,0,-0.6,0.0,0.0
1511796728894850537,1,2.0,0.0,0.0
1511796728994784600,0,-0.6,0.0,0.0
1511796729092429652,1,2.0,0.0,0.0
1511796729192309339,0,-0.6,0.0,0.0
1511796729292743297,1,2.0,0.0,0.0
1511796729392518558,0,-0.6,0.0,0.0
1511796729492984964,1,2.0,0.0,0.0
1511796729595494912,0,-0.6,0.0,0.0
1511796729693755120,1,2.0,0.0,0.0
1511796729793946318,0,-0.6,0.0,0.0
1511796729894148141,1,2.0,0.0,0.0
1511796729992470381,0,-0.6,0.0,0.0
1511796730094790380,1,2.0,0.0,0.0
1511796730193781422,0,-0.6,0.0,0.0
1511796730298259599,1,2.0,0.0,0.0
1511796730392784235,0,-0.6,0.0,0.0
1511796730494184391,1,2.0,0.0,0.0
1511796730593511474,0,-0.6,0.0,0.0
1511796730695289078,1,2.0,0.0,0.0
1511796730793136370,0,-0.6,0.0,0.0
1511796730895536109,1,2.0,0.0,0.0
1511796730995732099,0,-0.6,0.0,0.0
1511796731094680380,1,2.0,0.0,0.0
1511796731192334911,0,-0.6,0.0,0.0
1511796731291867203,1,2.0,0.0,0.0
1511796731391858088,0,-0.6,0.0,0.0
1511796731492156734,1,2.0,0.0,0.0
