rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1511796649171617703,,1,,1511796649,170676946,0,,,2486.55151367,207.934326172,59.2850036621,,0.00329154729843,0.650114536285,0.00545147061348,-0.759809613228
1511796649193225568,,2,,1511796649,190335988,0,,,2486.41552734,208.054443359,59.3568725586,,0.00381417572498,0.650054693222,0.0048431456089,-0.759862422943
1511796649211133172,,3,,1511796649,210287094,0,,,2486.41723633,207.968505859,59.4719238281,,0.00353798270226,0.649934589863,0.0056436508894,-0.759961009026
1511796649231175776,,4,,1511796649,230151891,0,,,2486.50585938,208.051269531,59.4748535156,,0.0036436766386,0.64993596077,0.00546195358038,-0.759960711002
1511796649251933640,,5,,1511796649,250230073,0,,,2486.57666016,207.978027344,59.4331054688,,0.00341123342514,0.650004088879,0.00559612363577,-0.759902596474
1511796649272332182,,6,,1511796649,270198106,0,,,2486.58178711,207.902832031,59.3500366211,,0.00344148278236,0.650119841099,0.0054282695055,-0.759804606438
1511796649295637078,,7,,1511796649,293915033,0,,,2486.48828125,207.909423828,59.2907714844,,0.00335623323917,0.650050520897,0.00574061274529,-0.759861946106
1511796649311945568,,8,,1511796649,309912919,0,,,2486.50024414,208.001708984,59.361907959,,0.00327754020691,0.650121748447,0.00546681880951,-0.759803414345
1511796649331732182,,9,,1511796649,330363988,0,,,2486.44580078,208.029296875,59.396484375,,0.0035502910614,0.650016307831,0.00524496287107,-0.7598939538
1511796649355867651,,10,,1511796649,349934101,0,,,2486.42260742,207.999511719,59.4703369141,,0.00373688340187,0.649970412254,0.0053063929081,-0.759931921959
1511796649371295047,,11,,1511796649,369812965,0,,,2486.47924805,207.966064453,59.483215332,,0.00346378982067,0.649943709373,0.00530000030994,-0.759956002235
1511796649391238120,,12,,1511796649,389976978,0,,,2486.48632812,207.998535156,59.334564209,,0.00349701941013,0.650012671947,0.00512355566025,-0.759898126125
1511796649410419005,,13,,1511796649,409081935,0,,,2486.47338867,207.910888672,59.3155822754,,0.00332291424274,0.650079488754,0.00540844351053,-0.759839773178
1511796649431455567,,14,,1511796649,429109096,0,,,2486.37451172,207.939697266,59.3702697754,,0.00344121456146,0.649997889996,0.00542379170656,-0.759908914566
1511796649449823953,,15,,1511796649,448452949,0,,,2486.3581543,207.973632812,59.4313659668,,0.00344184041023,0.649898648262,0.00532285869122,-0.759994566441
1511796649472098380,,16,,1511796649,470592975,0,,,2486.42724609,207.960449219,59.4826965332,,0.00348389148712,0.649990618229,0.00503617525101,-0.759917616844
1511796649491911817,,17,,1511796649,489628076,0,,,2486.47875977,207.916992188,59.4469299316,,0.00356738269329,0.649982452393,0.00527999550104,-0.759922623634
1511796649512664109,,18,,1511796649,509150028,0,,,2486.51220703,207.905029297,59.3602905273,,0.0033428221941,0.650066971779,0.00537773966789,-0.759850561619
1511796649529643797,,19,,1511796649,528136014,0,,,2486.50854492,207.944580078,59.2993469238,,0.00334070622921,0.650047540665,0.00537333637476,-0.759867310524
1511796649549703380,,20,,1511796649,547696113,0,,,2486.41381836,207.96484375,59.3728027344,,0.00349800288677,0.650040686131,0.00528094172478,-0.759873151779
1511796649570019265,,21,,1511796649,567775964,0,,,2486.37597656,207.998779297,59.4286499023,,0.00347396731377,0.649935483932,0.00537791103125,-0.759962439537
1511796649593688797,,22,,1511796649,588615894,0,,,2486.45117188,207.995849609,59.4920959473,,0.00358940660954,0.649949073792,0.00534722208977,-0.759950459003
1511796649609260411,,23,,1511796649,606759071,0,,,2486.53198242,208.034667969,59.4286804199,,0.00344750285149,0.649879515171,0.00528653711081,-0.760011136532
1511796649632341609,,24,,1511796649,626743078,0,,,2486.52075195,207.954345703,59.3659973145,,0.00352817773819,0.650008141994,0.00537051260471,-0.759900152683
1511796649647789369,,25,,1511796649,646259069,0,,,2486.48876953,207.932373047,59.3082885742,,0.00318087637424,0.650052607059,0.00562611967325,-0.759861707687
1511796649669870567,,26,,1511796649,666114091,0,,,2486.41552734,207.964599609,59.3453674316,,0.00313200056553,0.650082290173,0.00542058050632,-0.759838044643
1511796649689096869,,27,,1511796649,686700105,0,,,2486.34204102,207.988037109,59.4435119629,,0.00353725254536,0.650021314621,0.00506526976824,-0.759890913963
1511796649708529942,,28,,1511796649,706540107,0,,,2486.00463867,208.244873047,59.361907959,,0.00365667045116,0.648928165436,0.00249593704939,-0.760836839676
1511796649726925932,,29,,1511796649,725615024,0,,,2486.49536133,207.963134766,59.4892272949,,0.00363737344742,0.649922609329,0.00509670376778,-0.759974718094
1511796649746641817,,30,,1511796649,745059013,0,,,2486.5300293,207.895996094,59.3656311035,,0.00325104594231,0.649932920933,0.00547453761101,-0.759964942932
1511796649776899526,,31,,1511796649,773706912,0,,,2486.44726562,207.90625,59.3067321777,,0.00321462750435,0.650099933147,0.00537464022636,-0.759822964668
1511796649784598380,,32,,1511796649,783745050,0,,,2486.37915039,207.920166016,59.3331298828,,0.00320899486542,0.650049507618,0.00561110675335,-0.759864330292
1511796649806974942,,33,,1511796649,805057048,0,,,2486.41137695,207.979248047,59.4482421875,,0.00322133302689,0.650007069111,0.005147382617,-0.759904026985
1511796649825068119,,34,,1511796649,823803901,0,,,2486.40649414,207.963134766,59.5026245117,,0.00348441302776,0.649954497814,0.00491473823786,-0.759949326515
1511796649846053119,,35,,1511796649,843213081,0,,,2486.42871094,207.988525391,59.4941101074,,0.00356206297874,0.64990478754,0.00507332384586,-0.75999045372
