rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,twist,linear,x,y,z,angular,x,y,z
1512264239795950790,,1,,1512264239,795190095,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264239796010009,,2,,1512264239,795568943,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264239896677769,,3,,1512264239,895940065,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264239996315269,,4,,1512264239,995800018,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240096606102,,5,,1512264240,95834016,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240196728915,,6,,1512264240,195801019,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240296485946,,7,,1512264240,295779943,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240396324644,,8,,1512264240,395766973,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240496639331,,9,,1512264240,495834112,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240596607925,,10,,1512264240,595798015,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240696826623,,11,,1512264240,695892095,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240796514800,,12,,1512264240,795803070,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240896435946,,13,,1512264240,895858049,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264240996559071,,14,,1512264240,995860099,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264241096613289,,15,,1512264241,95814943,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264241196561258,,16,,1512264241,195945024,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264241297128706,,17,,1512264241,295941114,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264241396511935,,18,,1512264241,395956039,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264241496297820,,19,,1512264241,495707035,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264241596389487,,20,,1512264241,595863103,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264241696414435,,21,,1512264241,695785999,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264241796715477,,22,,1512264241,795861959,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264241896749643,,23,,1512264241,895978927,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264241996377352,,24,,1512264241,995793104,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264242096231987,,25,,1512264242,95789909,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264242196306987,,26,,1512264242,195801973,cmd,,,1.5,0.0,0.0,,0.0,0.0,0.0
1512264242296783133,,27,,1512264242,295820951,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264242397032247,,28,,1512264242,395793914,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264242496517612,,29,,1512264242,495860099,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264242596221466,,30,,1512264242,595712900,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264242696506101,,31,,1512264242,695795059,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264242797014122,,32,,1512264242,795797109,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264242896398966,,33,,1512264242,895802021,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264242996523028,,34,,1512264242,995814085,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264243097182299,,35,,1512264243,95940113,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264243196363341,,36,,1512264243,195802927,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264243296731466,,37,,1512264243,295939922,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264282750935096,,1,,1512264282,750130891,cmd,,,0.0,0.0,0.0,,0.0,0.0,0.0
1512264282751064419,,2,,1512264282,750513076,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264282851250773,,3,,1512264282,850740909,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264282951135253,,4,,1512264282,950756072,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283051253898,,5,,1512264283,50750017,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283151212492,,6,,1512264283,150739908,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283251244992,,7,,1512264283,250737905,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283351192804,,8,,1512264283,350747108,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283451265669,,9,,1512264283,450736045,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283551416919,,10,,1512264283,550736904,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283651420044,,11,,1512264283,650746107,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283751529731,,12,,1512264283,750746011,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283851390669,,13,,1512264283,850738048,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264283951412804,,14,,1512264283,950751066,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
1512264284051612856,,15,,1512264284,50751924,cmd,,,1.0,0.0,0.0,,0.0,0.0,0.0
