rosbagTimestamp,joint_name,position,speed,acceleration
1511917305704657015,0,-1.0,0.0,0.0
1511917305804259671,1,0.0,0.0,0.0
1511917305904780504,0,-1.0,0.0,0.0
1511917306004428213,1,0.0,0.0,0.0
1511917306103876650,0,-1.0,0.0,0.0
1511917306204274202,1,0.0,0.0,0.0
1511917306306547587,0,-1.0,0.0,0.0
1511917306404384202,1,0.0,0.0,0.0
1511917306504178681,0,-0.6,0.0,0.0
1511917306604669410,1,0.0,0.0,0.0
1511917306704585035,0,-0.6,0.0,0.0
1511917306804221441,1,0.0,0.0,0.0
1511917306904369775,0,-0.6,0.0,0.0
1511917307004268056,1,0.0,0.0,0.0
1511917307104496702,0,-0.6,0.0,0.0
1511917307204643160,1,0.0,0.0,0.0
1511917307304313160,0,-0.6,0.0,0.0
1511917307404667691,1,0.0,0.0,0.0
1511917307504231858,0,3.0,0.0,0.0
1511917307604065295,1,0.0,0.0,0.0
1511917307704330816,0,3.0,0.0,0.0
1511917307804156233,1,0.0,0.0,0.0
1511917307904097743,0,-0.4,0.0,0.0
1511917308004470399,1,0.0,0.0,0.0
1511917308104648056,0,-0.4,0.0,0.0
1511917308204458368,1,0.0,0.0,0.0
1511917308304663680,0,-0.4,0.0,0.0
1511917308404053003,1,0.0,0.0,0.0
1511917308504616285,0,-0.4,0.0,0.0
1511917308604896857,1,0.0,0.0,0.0
1511917308704700295,0,-0.4,0.0,0.0
1511917308804694409,1,0.0,0.0,0.0
1511917308904524097,0,3.0,0.0,0.0
1511917309004616336,1,0.0,0.0,0.0
1511917309104724305,0,3.0,0.0,0.0
1511917309204573576,1,0.0,0.0,0.0
1511917309304508420,0,3.0,0.0,0.0
1511917309404408993,1,0.0,0.0,0.0
1511917309504370555,0,3.0,0.0,0.0
1511917309604300034,1,0.0,0.0,0.0
1511917309704461440,0,3.0,0.0,0.0
1511917309804420086,1,0.0,0.0,0.0
1511917309904316232,0,3.0,0.0,0.0
1511917310004207169,1,0.0,0.0,0.0
1511917310104454044,0,3.0,0.0,0.0
1511917310204493836,1,0.0,0.0,0.0
1511917310304605190,0,3.0,0.0,0.0
1511917310404629357,1,0.0,0.0,0.0
1511917310504105242,0,3.0,0.0,0.0
1511917310604359773,1,0.0,0.0,0.0
1511917310704610711,0,3.0,0.0,0.0
1511917310803122534,1,0.0,0.0,0.0
1511917310903583732,0,0.0,0.0,0.0
1511917331208523620,0,-1.0,0.0,0.0
1511917331308558151,1,0.0,0.0,0.0
1511917331407622995,0,-1.0,0.0,0.0
1511917331507920286,1,0.0,0.0,0.0
1511917331608289244,0,-1.0,0.0,0.0
1511917331708403932,1,0.0,0.0,0.0
1511917331807939296,0,-1.0,0.0,0.0
1511917331907687005,1,0.0,0.0,0.0
1511917332008610026,0,-0.6,0.0,0.0
1511917332107900598,1,0.0,0.0,0.0
1511917332207898046,0,-0.6,0.0,0.0
1511917332308061380,1,0.0,0.0,0.0
1511917332408067005,0,-0.6,0.0,0.0
1511917332508748098,1,0.0,0.0,0.0
1511917332608340494,0,-0.6,0.0,0.0
1511917332707881275,1,0.0,0.0,0.0
1511917332808913046,0,-0.6,0.0,0.0
1511917332908528515,1,0.0,0.0,0.0
1511917333008427577,0,3.0,0.0,0.0
1511917333108098723,1,0.0,0.0,0.0
1511917333207889296,0,3.0,0.0,0.0
1511917333308331588,1,0.0,0.0,0.0
1511917333407973931,0,-0.4,0.0,0.0
1511917333508888150,1,0.0,0.0,0.0
1511917333608657265,0,-0.4,0.0,0.0
1511917333708156587,1,0.0,0.0,0.0
1511917333808436379,0,-0.4,0.0,0.0
1511917333907897889,1,0.0,0.0,0.0
1511917334007951223,0,-0.4,0.0,0.0
1511917334108185650,1,0.0,0.0,0.0
1511917334208358462,0,-0.4,0.0,0.0
1511917334307740598,1,0.0,0.0,0.0
1511917334407799764,0,3.0,0.0,0.0
1511917334507827004,1,0.0,0.0,0.0
1511917334607997941,0,3.0,0.0,0.0
1511917334708010233,1,0.0,0.0,0.0
1511917334807545337,0,3.0,0.0,0.0
1511917334907810441,1,0.0,0.0,0.0
1511917335008313045,0,3.0,0.0,0.0
1511917335108099347,1,0.0,0.0,0.0
1511917335208728149,0,3.0,0.0,0.0
1511917335307919608,1,0.0,0.0,0.0
1511917335408503826,0,3.0,0.0,0.0
1511917335508680910,1,0.0,0.0,0.0
1511917335609033358,0,3.0,0.0,0.0
1511917335708450753,1,0.0,0.0,0.0
1511917335807990910,0,3.0,0.0,0.0
1511917335907907889,1,0.0,0.0,0.0
1511917336008021066,0,3.0,0.0,0.0
1511917336107804764,1,0.0,0.0,0.0
1511917336207758566,0,3.0,0.0,0.0
1511917336307056951,1,0.0,0.0,0.0
1511917336406791795,0,0.0,0.0,0.0
1511917405627552185,0,-1.0,0.0,0.0
1511917405728117341,1,0.0,0.0,0.0
1511917405827591300,0,-0.4,0.0,0.0
1511917405927176560,1,0.0,0.0,0.0
1511917406027940362,0,-0.4,0.0,0.0
1511917406127653487,1,0.0,0.0,0.0
1511917406227793956,0,-0.4,0.0,0.0
1511917406327461508,1,0.0,0.0,0.0
1511917406427568643,0,-0.4,0.0,0.0
1511917406527952237,1,0.0,0.0,0.0
1511917406627757133,0,-0.4,0.0,0.0
1511917406727972914,1,0.0,0.0,0.0
1511917406827442601,0,-0.4,0.0,0.0
1511917406927328695,1,0.0,0.0,0.0
1511917407027717393,0,-0.4,0.0,0.0
1511917407128172237,1,0.0,0.0,0.0
1511917407228144997,0,-0.4,0.0,0.0
1511917407327581664,1,0.0,0.0,0.0
1511917407427998226,0,-0.4,0.0,0.0
1511917407528465413,1,0.0,0.0,0.0
1511917407627662965,0,-0.4,0.0,0.0
1511917407727805622,1,0.0,0.0,0.0
1511917407827689788,0,-0.4,0.0,0.0
1511917407927640049,1,0.0,0.0,0.0
1511917408027853278,0,-0.4,0.0,0.0
1511917408127598069,1,0.0,0.0,0.0
1511917408227337965,0,-0.4,0.0,0.0
1511917408327744944,1,0.0,0.0,0.0
1511917408427794892,0,-0.4,0.0,0.0
1511917408527426715,1,0.0,0.0,0.0
1511917408627908121,0,-0.4,0.0,0.0
1511917408727588850,1,0.0,0.0,0.0
1511917408827283850,0,-1.0,0.0,0.0
1511917408927655361,1,0.0,0.0,0.0
1511917409027873955,0,-0.6,0.0,0.0
1511917409127476559,1,0.0,0.0,0.0
1511917409227226402,0,3.0,0.0,0.0
1511917409327599371,1,0.0,0.0,0.0
1511917409427396038,0,3.0,0.0,0.0
1511917409527661767,1,0.0,0.0,0.0
1511917409628279683,0,3.0,0.0,0.0
1511917409727257756,1,0.0,0.0,0.0
1511917409827244788,0,3.0,0.0,0.0
1511917409927784579,1,0.0,0.0,0.0
1511917410027514371,0,3.0,0.0,0.0
1511917410127489006,1,0.0,0.0,0.0
1511917410227315829,0,3.0,0.0,0.0
1511917410327727652,1,0.0,0.0,0.0
1511917410427418902,0,3.0,0.0,0.0
1511917410527521610,1,0.0,0.0,0.0
1511917410627906923,0,3.0,0.0,0.0
1511917410727748746,1,0.0,0.0,0.0
1511917410827529475,0,3.0,0.0,0.0
1511917410927527860,1,0.0,0.0,0.0
1511917411027349683,0,3.0,0.0,0.0
1511917411126564995,1,0.0,0.0,0.0
1511917411226793902,0,0.0,0.0,0.0
1511917451395959876,0,-1.0,0.0,0.0
1511917451496171699,1,0.0,0.0,0.0
1511917451596048470,0,-0.4,0.0,0.0
1511917451695557428,1,0.0,0.0,0.0
1511917451795411490,0,-0.4,0.0,0.0
1511917451895832428,1,0.0,0.0,0.0
1511917451995577167,0,-0.4,0.0,0.0
1511917452095975032,1,0.0,0.0,0.0
1511917452195640032,0,-0.4,0.0,0.0
1511917452295906542,1,0.0,0.0,0.0
1511917452395731334,0,-0.4,0.0,0.0
1511917452495836282,1,0.0,0.0,0.0
1511917452595998886,0,-0.4,0.0,0.0
1511917452695952271,1,0.0,0.0,0.0
1511917452795960917,0,-0.4,0.0,0.0
1511917452896231646,1,0.0,0.0,0.0
1511917452996217844,0,-0.4,0.0,0.0
1511917453095702531,1,0.0,0.0,0.0
1511917453195475084,0,-0.4,0.0,0.0
1511917453295456125,1,0.0,0.0,0.0
1511917453395591542,0,-0.4,0.0,0.0
1511917453495395188,1,0.0,0.0,0.0
1511917453595501906,0,-0.4,0.0,0.0
1511917453695912323,1,0.0,0.0,0.0
1511917453795737740,0,-0.4,0.0,0.0
1511917453895537167,1,0.0,0.0,0.0
1511917453996015344,0,-0.4,0.0,0.0
1511917454096132479,1,0.0,0.0,0.0
1511917454195768521,0,-0.4,0.0,0.0
1511917454295498521,1,0.0,0.0,0.0
1511917454395527218,0,-0.4,0.0,0.0
1511917454495395500,1,0.0,0.0,0.0
1511917454595588260,0,-1.0,0.0,0.0
1511917454695733573,1,0.0,0.0,0.0
1511917454795713104,0,-1.0,0.0,0.0
1511917454896017218,1,0.0,0.0,0.0
1511917454996258833,0,-0.6,0.0,0.0
1511917455096062010,1,0.0,0.0,0.0
1511917455195589874,0,-0.6,0.0,0.0
1511917455295550656,1,0.0,0.0,0.0
1511917455395643260,0,-0.6,0.0,0.0
1511917455496101645,1,0.0,0.0,0.0
1511917455595555083,0,-0.6,0.0,0.0
1511917455696054666,1,0.0,0.0,0.0
1511917455798786437,0,-0.6,0.0,0.0
1511917455898514041,1,0.0,0.0,0.0
1511917455998537582,0,3.0,0.0,0.0
1511917456098726489,1,0.0,0.0,0.0
1511917456198801176,0,3.0,0.0,0.0
1511917456298755082,1,0.0,0.0,0.0
1511917456398640186,0,3.0,0.0,0.0
1511917456498775499,1,0.0,0.0,0.0
1511917456598629822,0,3.0,0.0,0.0
1511917456698597426,1,0.0,0.0,0.0
1511917456798919093,0,3.0,0.0,0.0
1511917456898677113,1,0.0,0.0,0.0
1511917456998679770,0,3.0,0.0,0.0
1511917457098573415,1,0.0,0.0,0.0
1511917457198601176,0,3.0,0.0,0.0
1511917457298572269,1,0.0,0.0,0.0
1511917457398642894,0,3.0,0.0,0.0
1511917457498573780,1,0.0,0.0,0.0
1511917457598579926,0,3.0,0.0,0.0
1511917457698612894,1,0.0,0.0,0.0
1511917457798863051,0,3.0,0.0,0.0
1511917457898588623,1,0.0,0.0,0.0
1511917457998582217,0,0.0,0.0,0.0
1511917471667228358,0,-1.0,0.0,0.0
1511917471767282733,1,0.0,0.0,0.0
1511917471867527368,0,-0.4,0.0,0.0
1511917471967215285,1,0.0,0.0,0.0
1511917472067367993,0,-0.4,0.0,0.0
1511917472167716222,1,0.0,0.0,0.0
1511917472267100128,0,-0.4,0.0,0.0
1511917472367873410,1,0.0,0.0,0.0
1511917472467056118,0,-0.4,0.0,0.0
1511917472567952732,1,0.0,0.0,0.0
1511917472667372107,0,-0.4,0.0,0.0
1511917472767255805,1,0.0,0.0,0.0
1511917472867520441,0,-0.4,0.0,0.0
1511917472967090961,1,0.0,0.0,0.0
1511917473067243097,0,-0.4,0.0,0.0
1511917473167619399,1,0.0,0.0,0.0
1511917473267215128,0,-0.4,0.0,0.0
1511917473367438930,1,0.0,0.0,0.0
1511917473467438097,0,-0.4,0.0,0.0
1511917473567836742,1,0.0,0.0,0.0
1511917473667409034,0,-0.4,0.0,0.0
1511917473767064659,1,0.0,0.0,0.0
1511917473867048096,0,-0.4,0.0,0.0
1511917473967401846,1,0.0,0.0,0.0
1511917474067447003,0,-0.4,0.0,0.0
1511917474167933357,1,0.0,0.0,0.0
1511917474267264294,0,-0.4,0.0,0.0
1511917474367493721,1,0.0,0.0,0.0
1511917474467113669,0,-0.4,0.0,0.0
1511917474567805023,1,0.0,0.0,0.0
1511917474667441117,0,-0.4,0.0,0.0
1511917474766924763,1,0.0,0.0,0.0
1511917474867608981,0,-1.0,0.0,0.0
1511917474967508617,1,0.0,0.0,0.0
1511917475067055804,0,-1.0,0.0,0.0
1511917475167227836,1,0.0,0.0,0.0
1511917475267103096,0,-0.6,0.0,0.0
1511917475367311117,1,0.0,0.0,0.0
1511917475467743044,0,-0.6,0.0,0.0
1511917475567253200,1,0.0,0.0,0.0
1511917475667064033,0,-0.6,0.0,0.0
1511917475767387575,1,0.0,0.0,0.0
1511917475867619762,0,-0.6,0.0,0.0
1511917475967761689,1,0.0,0.0,0.0
1511917476067217783,0,-0.6,0.0,0.0
1511917476167544033,1,0.0,0.0,0.0
1511917476267453460,0,3.0,0.0,0.0
1511917476367146012,1,0.0,0.0,0.0
1511917476467199398,0,3.0,0.0,0.0
1511917476567986220,1,0.0,0.0,0.0
1511917476667126689,0,3.0,0.0,0.0
1511917476767406325,1,0.0,0.0,0.0
1511917476867674033,0,3.0,0.0,0.0
1511917476967365752,1,0.0,0.0,0.0
1511917477067473929,0,3.0,0.0,0.0
1511917477167358304,1,0.0,0.0,0.0
1511917477267203356,0,3.0,0.0,0.0
1511917477367419866,1,0.0,0.0,0.0
1511917477467748199,0,3.0,0.0,0.0
1511917477567881220,1,0.0,0.0,0.0
1511917477667275074,0,3.0,0.0,0.0
1511917477767062001,1,0.0,0.0,0.0
1511917477867069032,0,3.0,0.0,0.0
1511917477967158772,1,0.0,0.0,0.0
1511917478067180543,0,3.0,0.0,0.0
1511917478166251741,1,0.0,0.0,0.0
1511917478266666845,0,0.0,0.0,0.0
1511917545782254788,0,-1.0,0.0,0.0
1511917545881604736,1,0.0,0.0,0.0
1511917545982089736,0,-0.45,0.0,0.0
1511917546081469111,1,0.0,0.0,0.0
1511917546181947756,0,-0.45,0.0,0.0
1511917546282123798,1,0.0,0.0,0.0
1511917546381463173,0,-0.45,0.0,0.0
1511917546481819683,1,0.0,0.0,0.0
1511917546581643173,0,-0.45,0.0,0.0
1511917546682064267,1,0.0,0.0,0.0
1511917546782909683,0,-0.45,0.0,0.0
1511917546881516142,1,0.0,0.0,0.0
1511917546982402808,0,-0.45,0.0,0.0
1511917547082381766,1,0.0,0.0,0.0
1511917547181594423,0,-0.45,0.0,0.0
1511917547281960673,1,0.0,0.0,0.0
1511917547381507548,0,-0.45,0.0,0.0
1511917547482590256,1,0.0,0.0,0.0
1511917547582852860,0,-0.45,0.0,0.0
1511917547681982287,1,0.0,0.0,0.0
1511917547782545464,0,-0.45,0.0,0.0
1511917547881910724,1,0.0,0.0,0.0
1511917547981613902,0,-0.45,0.0,0.0
1511917548082445933,1,0.0,0.0,0.0
1511917548181857391,0,-0.45,0.0,0.0
1511917548281356974,1,0.0,0.0,0.0
1511917548381910308,0,-0.45,0.0,0.0
1511917548481605203,1,0.0,0.0,0.0
1511917548582539474,0,-0.45,0.0,0.0
1511917548681765308,1,0.0,0.0,0.0
1511917548782145776,0,-0.45,0.0,0.0
1511917548881720099,1,0.0,0.0,0.0
1511917548982005203,0,-0.75,0.0,0.0
1511917549082497651,1,0.0,0.0,0.0
1511917549182411766,0,-0.75,0.0,0.0
1511917549281789839,1,0.0,0.0,0.0
1511917549381852859,0,-0.75,0.0,0.0
1511917549481347182,1,0.0,0.0,0.0
1511917549581250099,0,-0.55,0.0,0.0
1511917549682484838,1,0.0,0.0,0.0
1511917549781829318,0,-0.55,0.0,0.0
1511917549881622651,1,0.0,0.0,0.0
1511917549981994682,0,-0.55,0.0,0.0
1511917550081919734,1,0.0,0.0,0.0
1511917550181951713,0,-0.55,0.0,0.0
1511917550281867182,1,0.0,0.0,0.0
1511917550381504317,0,-0.55,0.0,0.0
1511917550481668119,1,0.0,0.0,0.0
1511917550581393067,0,3.0,0.0,0.0
1511917550681692963,1,0.0,0.0,0.0
1511917550781292390,0,3.0,0.0,0.0
1511917550881408640,1,0.0,0.0,0.0
1511917550981632182,0,3.0,0.0,0.0
1511917551081563015,1,0.0,0.0,0.0
1511917551182028588,0,3.0,0.0,0.0
1511917551281578379,1,0.0,0.0,0.0
1511917551381516452,0,3.0,0.0,0.0
1511917551482039109,1,0.0,0.0,0.0
1511917551582070879,0,3.0,0.0,0.0
1511917551681485515,1,0.0,0.0,0.0
1511917551781543848,0,3.0,0.0,0.0
1511917551881575306,1,0.0,0.0,0.0
1511917551981569525,0,3.0,0.0,0.0
1511917552081432962,1,0.0,0.0,0.0
1511917552181380462,0,3.0,0.0,0.0
1511917552281251712,1,0.0,0.0,0.0
1511917552381585046,0,3.0,0.0,0.0
1511917552480472910,1,0.0,0.0,0.0
1511917552581716191,0,0.0,0.0,0.0
1511917568467173946,0,-1.0,0.0,0.0
1511917568568189831,1,0.0,0.0,0.0
1511917568668357123,0,-0.45,0.0,0.0
1511917568767730769,1,0.0,0.0,0.0
1511917568867715769,0,-0.45,0.0,0.0
1511917568968020873,1,0.0,0.0,0.0
1511917569067597956,0,-0.45,0.0,0.0
1511917569167536029,1,0.0,0.0,0.0
1511917569267417279,0,-0.45,0.0,0.0
1511917569367613320,1,0.0,0.0,0.0
1511917569467057383,0,-0.45,0.0,0.0
1511917569567160925,1,0.0,0.0,0.0
1511917569667749050,0,-0.45,0.0,0.0
1511917569767179727,1,0.0,0.0,0.0
1511917569867724674,0,-0.45,0.0,0.0
1511917569967221862,1,0.0,0.0,0.0
1511917570067125664,0,-0.45,0.0,0.0
1511917570166963997,1,0.0,0.0,0.0
1511917570267051185,0,-0.45,0.0,0.0
1511917570367112226,1,0.0,0.0,0.0
1511917570467224830,0,-0.45,0.0,0.0
1511917570567363789,1,0.0,0.0,0.0
1511917570667094622,0,-0.45,0.0,0.0
1511917570767816080,1,0.0,0.0,0.0
1511917570867122174,0,-0.45,0.0,0.0
1511917570967113997,1,0.0,0.0,0.0
1511917571067125611,0,-0.45,0.0,0.0
1511917571167107903,1,0.0,0.0,0.0
1511917571266881341,0,-0.45,0.0,0.0
1511917571367250663,1,0.0,0.0,0.0
1511917571467531861,0,-0.45,0.0,0.0
1511917571567101445,1,0.0,0.0,0.0
1511917571667545299,0,-0.75,0.0,0.0
1511917571770612903,1,0.0,0.0,0.0
1511917571870572122,0,-0.75,0.0,0.0
1511917571970507382,1,0.0,0.0,0.0
1511917572070486809,0,-0.75,0.0,0.0
1511917572170415871,1,0.0,0.0,0.0
1511917572270328267,0,-0.55,0.0,0.0
1511917572368343996,1,0.0,0.0,0.0
1511917572467705194,0,-0.55,0.0,0.0
1511917572570579309,1,0.0,0.0,0.0
1511917572670463267,0,-0.55,0.0,0.0
1511917572770467017,1,0.0,0.0,0.0
1511917572870432746,0,-0.55,0.0,0.0
1511917572970592538,1,0.0,0.0,0.0
1511917573070599934,0,-0.55,0.0,0.0
1511917573170357902,1,0.0,0.0,0.0
1511917573270452017,0,3.0,0.0,0.0
1511917573370439100,1,0.0,0.0,0.0
1511917573470460350,0,3.0,0.0,0.0
1511917573570478475,1,0.0,0.0,0.0
1511917573670445038,0,3.0,0.0,0.0
1511917573770412954,1,0.0,0.0,0.0
