rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1510962725546146940,,1,,1510962725,542318105,0,,,1932.32104492,211.053955078,1202.60974121,,-0.0180941671133,0.807541012764,0.0278739891946,-0.588874399662
1510962725562339805,,2,,1510962725,561862945,0,,,1932.22839355,210.94140625,1202.66809082,,-0.0179443508387,0.807572245598,0.0277311652899,-0.588842988014
1510962725582754649,,3,,1510962725,581974029,0,,,1932.24572754,210.984130859,1202.78259277,,-0.0178356021643,0.807517647743,0.0276329629123,-0.58892583847
1510962725601959961,,4,,1510962725,601351976,0,,,1932.39819336,211.174560547,1202.81860352,,-0.0180666148663,0.807482123375,0.0276864729822,-0.588964879513
1510962725621948815,,5,,1510962725,621356010,0,,,1932.5189209,211.341064453,1202.75219727,,-0.018325611949,0.807504653931,0.0278028734028,-0.588920533657
1510962725644579024,,6,,1510962725,642266988,0,,,1932.5246582,211.352050781,1202.7019043,,-0.0183442682028,0.807539045811,0.0279332250357,-0.588866591454
1510962725669499232,,7,,1510962725,662471055,0,,,1932.38476562,210.968261719,1202.24755859,,-0.0195049345493,0.807299077511,0.0298682078719,-0.589063286781
1510962725681863555,,8,,1510962725,681157112,0,,,1932.26220703,211.020263672,1202.57165527,,-0.0183826684952,0.807502567768,0.0282846130431,-0.588898718357
1510962725702246732,,9,,1510962725,700962066,0,,,1932.2644043,211.146240234,1202.76318359,,-0.0176594108343,0.807466685772,0.027377218008,-0.589012920856
1510962725721169336,,10,,1510962725,720550060,0,,,1932.39306641,211.290283203,1202.74060059,,-0.0176700055599,0.807447314262,0.0273965522647,-0.589038133621
1510962725741417670,,11,,1510962725,740627050,0,,,1932.55029297,211.417480469,1202.75341797,,-0.0178695619106,0.807468473911,0.0275093093514,-0.5889980793
1510962725761091211,,12,,1510962725,760270118,0,,,1932.60803223,211.453125,1202.69055176,,-0.018130749464,0.807543516159,0.0277015008032,-0.588878035545
1510962725780774545,,13,,1510962725,780046939,0,,,1932.47338867,211.282958984,1202.64196777,,-0.0180508494377,0.807550251484,0.0277043394744,-0.588871181011
1510962725802949857,,14,,1510962725,801664113,0,,,1932.29846191,211.102050781,1202.67431641,,-0.017952889204,0.807489752769,0.0277013480663,-0.588957190514
1510962725824566524,,15,,1510962725,820343017,0,,,1932.25012207,211.083984375,1202.71923828,,-0.017995968461,0.807449102402,0.0276831313968,-0.589012503624
1510962725842315274,,16,,1510962725,840346097,0,,,1932.34753418,211.183105469,1202.73303223,,-0.0179538875818,0.807473599911,0.0277144573629,-0.588978767395
1510962725859829753,,17,,1510962725,859163045,0,,,1932.47888184,211.298095703,1202.75976562,,-0.0182154625654,0.807510077953,0.0277510024607,-0.588918924332
