rosbagTimestamp,joint_name,position,speed,acceleration
1511916184331242755,0,-1.0,0.0,0.0
1511916184431766713,1,1.0,0.0,0.0
1511916184531429942,0,-1.0,0.0,0.0
1511916184631746661,1,1.0,0.0,0.0
1511916184732242755,0,-0.4,0.0,0.0
1511916184830857442,1,1.0,0.0,0.0
1511916184931836192,0,-0.4,0.0,0.0
1511916185030861140,1,1.0,0.0,0.0
1511916185131399005,0,-0.4,0.0,0.0
1511916185231792494,1,1.0,0.0,0.0
1511916185331157963,0,-0.4,0.0,0.0
1511916185430868015,1,1.0,0.0,0.0
1511916185531290463,0,-0.4,0.0,0.0
1511916185630397702,1,1.0,0.0,0.0
1511916185730998692,0,3.0,0.0,0.0
1511916185831181400,1,1.0,0.0,0.0
1511916185931802025,0,3.0,0.0,0.0
1511916186031355359,1,1.0,0.0,0.0
1511916186130230984,0,3.0,0.0,0.0
1511916186230928588,1,1.0,0.0,0.0
1511916186331353536,0,3.0,0.0,0.0
1511916186430907806,1,1.0,0.0,0.0
1511916186530496973,0,3.0,0.0,0.0
1511916186634730046,1,1.0,0.0,0.0
1511916186732069421,0,3.0,0.0,0.0
1511916186831864525,1,1.0,0.0,0.0
1511916186932093692,0,3.0,0.0,0.0
1511916187030859889,1,1.0,0.0,0.0
1511916187130394264,0,3.0,0.0,0.0
1511916187231586660,1,1.0,0.0,0.0
1511916187331203379,0,3.0,0.0,0.0
1511916187430776400,1,1.0,0.0,0.0
1511916187531871608,0,3.0,0.0,0.0
1511916187629613535,1,0.0,0.0,0.0
1511916187729668952,0,0.0,0.0,0.0
1511916226785282531,0,-1.0,0.0,0.0
1511916226885609770,1,1.0,0.0,0.0
1511916226985023051,0,-1.0,0.0,0.0
1511916227085651385,1,1.0,0.0,0.0
1511916227184996645,0,-0.4,0.0,0.0
1511916227284685030,1,1.0,0.0,0.0
1511916227384817114,0,-0.4,0.0,0.0
1511916227484584301,1,1.0,0.0,0.0
1511916227585105343,0,-0.4,0.0,0.0
1511916227684908468,1,1.0,0.0,0.0
1511916227785156280,0,-0.4,0.0,0.0
1511916227884744978,1,1.0,0.0,0.0
1511916227984933936,0,-0.4,0.0,0.0
1511916228084770551,1,1.0,0.0,0.0
1511916228185175863,0,-0.4,0.0,0.0
1511916228285359978,1,1.0,0.0,0.0
1511916228385554249,0,-0.4,0.0,0.0
1511916228484743624,1,1.0,0.0,0.0
1511916228585134665,0,-0.4,0.0,0.0
1511916228684592374,1,1.0,0.0,0.0
1511916228784510603,0,-0.4,0.0,0.0
1511916228884707686,1,1.0,0.0,0.0
1511916228984446280,0,-0.4,0.0,0.0
1511916229084861280,1,1.0,0.0,0.0
1511916229184519873,0,3.0,0.0,0.0
1511916229288263415,1,1.0,0.0,0.0
1511916229384926905,0,3.0,0.0,0.0
1511916229484938675,1,1.0,0.0,0.0
1511916229585602217,0,3.0,0.0,0.0
1511916229685147946,1,1.0,0.0,0.0
1511916229784650342,0,3.0,0.0,0.0
1511916229884936384,1,1.0,0.0,0.0
1511916229984748363,0,3.0,0.0,0.0
1511916230084519977,1,1.0,0.0,0.0
1511916230185230029,0,3.0,0.0,0.0
1511916230284761540,1,1.0,0.0,0.0
1511916230384478727,0,3.0,0.0,0.0
1511916230484672269,1,1.0,0.0,0.0
1511916230584891592,0,3.0,0.0,0.0
1511916230684569821,1,1.0,0.0,0.0
1511916230784598102,0,3.0,0.0,0.0
1511916230885710081,1,1.0,0.0,0.0
1511916230984900966,0,3.0,0.0,0.0
1511916231084035758,1,0.0,0.0,0.0
1511916231184061904,0,0.0,0.0,0.0
1511916260008519289,0,-1.0,0.0,0.0
1511916260108912049,1,1.0,0.0,0.0
1511916260208655070,0,-1.0,0.0,0.0
1511916260308377778,1,1.0,0.0,0.0
1511916260407956945,0,-0.4,0.0,0.0
1511916260508215226,1,1.0,0.0,0.0
1511916260608460591,0,-0.4,0.0,0.0
1511916260708254653,1,1.0,0.0,0.0
1511916260808508507,0,-0.4,0.0,0.0
1511916260908451893,1,1.0,0.0,0.0
1511916261008045330,0,-0.4,0.0,0.0
1511916261108260903,1,1.0,0.0,0.0
1511916261208044965,0,-0.4,0.0,0.0
1511916261307937830,1,1.0,0.0,0.0
1511916261408186059,0,-0.4,0.0,0.0
1511916261508063715,1,1.0,0.0,0.0
1511916261610799861,0,-0.4,0.0,0.0
1511916261708638819,1,1.0,0.0,0.0
1511916261808723298,0,-0.4,0.0,0.0
1511916261908575225,1,1.0,0.0,0.0
1511916262008603611,0,-0.4,0.0,0.0
1511916262108082777,1,1.0,0.0,0.0
1511916262208017621,0,-0.4,0.0,0.0
1511916262308417257,1,1.0,0.0,0.0
1511916262408452257,0,-0.4,0.0,0.0
1511916262508534079,1,1.0,0.0,0.0
1511916262608255902,0,-0.4,0.0,0.0
1511916262708396736,1,1.0,0.0,0.0
1511916262808497100,0,-0.4,0.0,0.0
1511916262908165642,1,1.0,0.0,0.0
1511916263007878558,0,-0.4,0.0,0.0
1511916263107893246,1,1.0,0.0,0.0
1511916263208037465,0,-0.4,0.0,0.0
1511916263308033246,1,1.0,0.0,0.0
1511916263408194652,0,-0.4,0.0,0.0
1511916263508456735,1,1.0,0.0,0.0
1511916263609208506,0,-0.4,0.0,0.0
1511916263708189339,1,1.0,0.0,0.0
1511916263808277100,0,-0.4,0.0,0.0
1511916263908459964,1,1.0,0.0,0.0
1511916264008301058,0,-0.4,0.0,0.0
1511916264108249443,1,1.0,0.0,0.0
1511916264208191839,0,-0.4,0.0,0.0
1511916264308170225,1,1.0,0.0,0.0
1511916264408011475,0,3.0,0.0,0.0
1511916264508151422,1,1.0,0.0,0.0
1511916264608332620,0,3.0,0.0,0.0
1511916264708151735,1,1.0,0.0,0.0
1511916264807864599,0,3.0,0.0,0.0
1511916264908087464,1,1.0,0.0,0.0
1511916265008246162,0,3.0,0.0,0.0
1511916265108324755,1,1.0,0.0,0.0
1511916265209061318,0,3.0,0.0,0.0
1511916265308347151,1,1.0,0.0,0.0
1511916265408818141,0,3.0,0.0,0.0
1511916265508219078,1,1.0,0.0,0.0
1511916265608260849,0,3.0,0.0,0.0
1511916265710828818,1,1.0,0.0,0.0
1511916265808096370,0,3.0,0.0,0.0
1511916265908678453,1,1.0,0.0,0.0
1511916266008161474,0,3.0,0.0,0.0
1511916266108018453,1,1.0,0.0,0.0
1511916266208522828,0,3.0,0.0,0.0
1511916266307129963,1,0.0,0.0,0.0
1511916266407228922,0,0.0,0.0,0.0
1511916286830559383,0,-1.0,0.0,0.0
1511916286931096414,1,1.0,0.0,0.0
1511916287031113497,0,-1.0,0.0,0.0
