0,1.2054,1.9408,-1.8808
0.5,1.2054,1.941,-1.8806
1,1.2055,1.941,-1.8805
1.5,1.2055,1.9411,-1.8805
2,1.2055,1.9411,-1.8806
2.5,1.2054,1.9411,-1.8808
3,1.2054,1.941,-1.8812
3.5,1.2047,1.939,-1.8818
4,1.2003,1.9261,-1.8839
4.5,1.1517,1.7907,-1.9019
5,1.0543,1.5277,-1.903
5.5,1.0342,1.3751,-1.7353
6,1.0194,1.2406,-1.6961
6.5,1.002,0.90521,-1.6133
7,1.0239,0.38518,-1.5042
7.5,0.92457,-0.014085,-1.9584
8,0.8197,-0.22604,-1.9303
8.5,0.80901,-0.28973,-1.835
9,0.8049,-0.5551,-1.5781
9.5,1.0029,-1.194,-1.2395
10,1.0185,-1.7144,-1.5756
10.5,0.97206,-2.0528,-1.7015
11,0.94638,-2.2031,-1.7245
11.5,0.94024,-2.2225,-1.7662
12,0.91374,-2.2996,-1.8087
12.5,0.74347,-2.711,-2.0212
13,0.42153,-3.0877,-2.327
13.5,0.23705,-3.2024,-2.5831
14,0.17315,-3.222,-2.682
14.5,0.1695,-3.2232,-2.6861
15,0.11443,-3.2361,-2.7647
15.5,-0.047767,-3.2506,-2.9918
16,-0.26583,-3.2076,-3.3038
16.5,-0.48729,-3.0765,-3.6766
17,-0.66024,-2.8503,-4.0814
17.5,-0.74389,-2.55,-4.4217
18,-0.79304,-2.357,-4.4579
18.5,-0.79286,-2.2993,-4.5512
19,-0.7926,-2.2833,-4.5739
19.5,-0.78658,-2.1833,-4.6643
20,-0.78795,-2.1589,-4.6666
20.5,-0.78795,-2.1524,-4.667
21,-0.7876,-2.0714,-4.6993
21.5,-0.77662,-1.9916,-4.7588
22,-0.7758,-1.9867,-4.7607
22.5,-0.775,-1.9738,-4.7619
23,-0.77233,-1.9387,-4.7662
23.5,-0.76828,-1.8718,-4.776
24,-0.75909,-1.7712,-4.7876
24.5,-0.74633,-1.645,-4.8033
25,-0.72914,-1.4968,-4.8228
25.5,-0.63787,-0.97071,-4.9037
26,-0.42803,-0.15258,-4.9899
26.5,-0.21486,0.52569,-5.033
27,0.03097,1.2149,-5.0767
27.5,0.26825,1.7962,-5.1333
28,0.3574,1.9872,-5.149
28.5,0.40982,2.0874,-5.1874
29,0.45057,2.1316,-5.2868
29.5,0.57879,2.2402,-5.5042
30,0.96058,2.3782,-6.0432
30.5,1.3927,2.3772,-6.262
31,1.6861,2.375,-6.2949
31.5,1.7382,2.3758,-6.3118
32,1.6596,2.3803,-6.3106
32.5,1.5226,2.3866,-6.3012
33,1.4264,2.39,-6.2931
33.5,1.4124,2.3903,-6.2916
34,1.3372,2.3936,-6.2887
34.5,1.1775,2.3985,-6.2578
35,1.1657,2.3962,-6.2678
35.5,1.1707,2.3948,-6.2929
36,1.1913,2.3906,-6.3209
36.5,1.3428,2.3413,-6.5328
37,1.573,2.1736,-6.9345
37.5,1.7455,1.8493,-7.4383
38,1.7284,1.4312,-8.025
38.5,1.5619,1.0845,-8.2921
39,1.4715,0.89528,-8.3096
39.5,1.4501,0.85269,-8.3181
40,1.4118,0.78236,-8.3402
40.5,1.3003,0.59677,-8.4023
41,1.1288,0.35271,-8.4671
41.5,0.93773,0.045136,-8.4
42,0.54491,-0.5896,-8.4025
42.5,0.062805,-1.3712,-8.3766
43,-0.22462,-1.9312,-8.3001
43.5,-0.3147,-2.1337,-8.2707
44,-0.36523,-2.2511,-8.2589
44.5,-0.42536,-2.3918,-8.257
45,-0.54715,-2.6732,-8.2627
45.5,-0.62934,-2.9534,-8.1152
46,-0.63757,-3.0892,-7.9604
46.5,-0.63512,-3.1158,-7.9207
47,-0.60728,-3.2444,-7.7442
47.5,-0.4681,-3.5064,-7.3224
48,-0.14102,-3.7282,-6.7454
48.5,0.29337,-3.7203,-6.1177
49,0.65339,-3.4341,-5.434
49.5,0.78039,-2.9574,-4.8689
50,0.82507,-2.5043,-4.8022
50.5,0.82549,-2.1571,-4.6685
51,0.77408,-1.7692,-4.5715
51.5,0.60904,-0.99032,-4.4689
52,0.30705,0.010979,-4.3704
52.5,-0.021909,0.78862,-4.2398
53,-0.43055,1.5061,-4.1703
53.5,-0.9514,2.1527,-3.8361
54,-1.2888,2.2896,-3.4429
54.5,-1.2924,2.2901,-3.4488
55,-1.1605,2.2413,-3.4687
55.5,-0.85867,2.1319,-3.4826
56,-0.72894,2.0894,-3.542
56.5,-0.58551,2.0265,-3.5456
57,-0.29327,1.8992,-3.6559
57.5,0.047351,1.6833,-3.7532
58,0.25985,1.525,-3.3991
58.5,0.3466,1.4879,-3.2466
59,0.33875,1.4859,-3.2113
59.5,0.19064,1.4586,-3.0311
60,-0.12898,1.2906,-2.5608
60.5,-0.35593,0.92082,-1.9699
61,-0.34705,0.54122,-1.4413
61.5,-0.25051,0.23173,-1.2694
62,-0.1146,-0.13067,-1.2023
62.5,0.05081,-0.55278,-1.218
63,0.17533,-1.0425,-1.3571
63.5,0.27705,-1.5811,-1.3918
64,0.37249,-2.1718,-1.4189
64.5,0.42506,-2.5293,-1.4292
65,0.45386,-2.7332,-1.437
65.5,0.47346,-3.0843,-1.5807
66,0.33911,-3.4575,-2.0191
66.5,0.036327,-3.751,-2.4965
